Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение
2009 Toyota Tacoma Double Cab Prerunner,$ 4 250 USD,1,3TMJU62N99M084561,222 388 mi(подтвержден),16.05.2024 19:00 UTC,4.0l 6,,Красный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""FRESNO, CALIFORNIA"",$ 12 317 USD,$ 13 625 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2014 Dodge Charger Se,$ 1 200 USD,1,2C3CDXBG6EH274945,173 671 mi(подтвержден),16.05.2024 19:00 UTC,3.6l 6,,Серый,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""ANTELOPE, CALIFORNIA"",$ 4 290 USD,$ 7 925 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,
2019 Honda Insight Ex,$ 3 000 USD,1,19XZE4F54KE014450,125 208 mi(подтвержден),16.05.2024 19:00 UTC,1.5l 4,,Белый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,заводится и едет,""FRESNO, CALIFORNIA"",$ 16 406 USD,$ 19 875 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
1986 Toyota Pickup Turbo,$ 8 600 USD,1,JT4RN63B7G0006364,212 781 mi,16.05.2024 19:00 UTC,2.4l 4,,Белый,Механическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""RENO, NEVADA"",$ 9 597 USD,$ 0 USD,NV - SALVAGE TITLE,Кража,Вандализм,
2008 Toyota Yaris,$ 1 550 USD,1,JTDBT923781274118,160 150 mi(подтвержден),16.05.2024 19:00 UTC,1.5l 4,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""RANCHO CUCAMONGA, CALIFORNIA"",$ 5 707 USD,$ 6 450 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение задней части,Повреждение ходовой части
2018 Jeep Wrangler Unlimited Sahara,$ 18 400 USD,1,1C4HJXEG3JW247591,56 562 mi(подтвержден),16.05.2024 19:00 UTC,3.6l 6,,Белый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""RENO, NEVADA"",$ 5 075 USD,$ 33 150 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,
2008 Nissan Pathfinder S,$ 175 USD,1,5N1AR18U78C622348,,16.05.2024 19:00 UTC,4.0l 6,,Серебряный,Автоматическая,Бензин,задний привод,,улучшенные транспортные средства,""RANCHO CUCAMONGA, CALIFORNIA"",$ 5 000 USD,$ 5 463 USD,CA - SALVAGE CERTIFICATE,Пожар,Пожар двигателя,
2017 Subaru Wrx Sti,$ 6 100 USD,1,JF1VA2M66H9832274,98 790 mi(подтвержден),16.05.2024 19:00 UTC,2.5l 4,,Синий,Механическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""RANCHO CUCAMONGA, CALIFORNIA"",$ 21 693 USD,$ 22 000 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение стороны
2008 Chevrolet Hhr Ls,$ 250 USD,1,3GNCA13D88S677100,126 475 mi,16.05.2024 19:00 UTC,2.2l 4,4-дверный спорт,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""LAS VEGAS, NEVADA"",$ 0 USD,$ 6 675 USD,NV - NON-REPAIRABLE VEHICLE CERT,Столкновение,Повреждение передней части,
2013 Hyundai Elantra Gls,$ 3 900 USD,1,5NPDH4AE7DH341710,53 095 mi(подтвержден),16.05.2024 19:00 UTC,1.8l 4,,Желто-коричневый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""RANCHO CUCAMONGA, CALIFORNIA"",$ 0 USD,$ 6 875 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Пожертвование,Повреждение передней части,Механическое повреждение
2008 Subaru Outback 3.0r Ll Bean,$ 900 USD,1,4S4BP86C884338685,,16.05.2024 18:00 UTC,3.0l 6,4-дверный спорт,Черный,Автоматическая,Бензин,Полный привод,,улучшенные транспортные средства,""NAMPA, IDAHO"",$ 10 833 USD,$ 7 525 USD,ID - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение стороны,
2000 Subaru Forester L,$ 350 USD,1,JF1SF6354YH711849,105 509 mi(подтвержден),16.05.2024 14:00 UTC,2.5l 4,4-дверный спорт,Красный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""HURRICANE, OHIO"",$ 4 222 USD,$ 3 575 USD,OH - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны
2020 Subaru Crosstrek Premium,$ 575 USD,1,JF2GTAEC3LH227978,,16.05.2024 14:00 UTC,2.0l 4,,Белый,Автоматическая,Бензин,Полный привод,,,""HURRICANE, WEST VIRGINIA"",$ 32 039 USD,$ 23 750 USD,WV - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение передней части
2013 Dodge Avenger Se,$ 300 USD,1,1C3CDZAB6DN612903,182 237 mi(подтвержден),16.05.2024 19:00 UTC,2.4l 4,4-дверный седан,Серебряный,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""RANCHO CUCAMONGA, CALIFORNIA"",$ 0 USD,$ 5 950 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2010 Jeep Patriot Sport,$ 450 USD,1,1J4NT2GB3AD659971,91 658 mi(подтвержден),16.05.2024 17:00 UTC,2.4l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""GRAND PRAIRIE, TEXAS"",$ 8 751 USD,$ 5 775 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,
2004 Chevrolet Colorado,$ 950 USD,1,1GCCS198948153473,121 369 mi(подтвержден),16.05.2024 19:00 UTC,2.8l 4,,Желто-коричневый,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""RANCHO CUCAMONGA, CALIFORNIA"",$ 9 236 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2010 Toyota Corolla Base,$ 2 750 USD,1,1NXBU4EE8AZ373494,146 698 mi(подтвержден),16.05.2024 19:00 UTC,1.8l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ANTELOPE, CALIFORNIA"",$ 0 USD,$ 7 925 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повсюду,
2003 Toyota 4runner Sr5,$ 1 100 USD,1,JTEBU14R930012692,298 843 mi,16.05.2024 19:00 UTC,4.0l 6,,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""RENO, NEVADA"",$ 7 033 USD,$ 0 USD,NV - SALVAGE TITLE,Столкновение,Повсюду,
2013 Chevrolet Equinox Ls,$ 675 USD,1,2GNALBEK2D6362661,139 469 mi(подтвержден),16.05.2024 19:00 UTC,2.4l 4,,Белый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""RANCHO CUCAMONGA, CALIFORNIA"",$ 7 330 USD,$ 6 750 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повсюду,Повреждение ходовой части
2012 Mazda 3 I,$ 200 USD,1,JM1BL1UG4C1526238,119 260 mi(подтвержден),16.05.2024 19:00 UTC,2.0l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""ANTELOPE, CALIFORNIA"",$ 9 424 USD,$ 6 625 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2020 Ford Ecosport Titanium,$ 4 900 USD,3,MAJ6S3KL9LC349227,32 820 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Красный,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 12 987 USD,$ 20 375 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины
1992 Ford F150,$ 450 USD,1,2FTEF14YXNCA83365,372 204 mi(подтвержден),16.05.2024 19:00 UTC,4.9l 6,,Бежевый,Механическая,Бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,""PHOENIX, ARIZONA"",$ 3 891 USD,$ 3 200 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повреждение задней части
1997 Honda Civic Lx,$ 1 250 USD,1,2HGEJ6571VH521776,160 239 mi(подтвержден),16.05.2024 19:00 UTC,1.6l 4,4-дверный седан,Синий,Механическая,Бензин,передний привод,,улучшенные транспортные средства,""PHOENIX, ARIZONA"",$ 0 USD,$ 0 USD,AZ - CERT OF TITLE - SALVAGE,Кража,Вандализм,
2021 Hyundai Palisade Calligraphy,$ 5 300 USD,1,KM8R74HE3MU266651,28 584 mi(подтвержден),16.05.2024 17:00 UTC,3.8l 6,,Серый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""GRAND PRAIRIE, TEXAS"",$ 35 729 USD,$ 38 775 USD,TX - NONREPAIRABLE TITLE,Столкновение,Опрокидывание/Перевертышь,
2012 Hyundai Santa Fe Gls,$ 1 650 USD,1,5XYZGDAB9CG128388,98 717 mi,16.05.2024 19:00 UTC,2.4l 4,,Синий,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""RENO, NEVADA"",$ 0 USD,$ 9 725 USD,NV - SALVAGE TITLE,Публичный коносамент,Повреждение передней части,Повреждение стороны
2004 Ford F150 Supercrew,$ 1 050 USD,1,1FTPW14594KD04706,207 457 mi,16.05.2024 18:00 UTC,5.4l 8,,Белый,Автоматическая,Бензин,4х4 с задним приводом,,,""NAMPA, IDAHO"",$ 6 952 USD,$ 0 USD,ID - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,
2007 Mercury Milan Premier,$ 400 USD,1,3MEHM08197R642424,203 089 mi(подтвержден),16.05.2024 19:00 UTC,3.0l 6,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""FRESNO, CALIFORNIA"",$ 4 299 USD,$ 5 275 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,
2012 Infiniti G37 Base,$ 1 250 USD,1,JN1CV6AP5CM935169,136 781 mi(подтвержден),16.05.2024 17:00 UTC,3.7l 6,,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""GRAND PRAIRIE, TEXAS"",$ 0 USD,$ 7 675 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,
2015 Dodge Charger Se,$ 2 200 USD,1,2C3CDXBG8FH925686,158 558 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,4-дверный седан,Черный,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 10 671 USD,$ 9 775 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны
2015 Lexus Lx 570,$ 19 300 USD,1,JTJHY7AX5F4168103,151 627 mi(подтвержден),16.05.2024 17:00 UTC,5.7l 8,,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""GRAND PRAIRIE, TEXAS"",$ 37 796 USD,$ 32 150 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение стороны
2020 Toyota Rav4 Xle,$ 7 600 USD,1,2T3W1RFV0LC044953,83 139 mi(подтвержден),16.05.2024 19:00 UTC,2.5l 4,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""PHOENIX, ARIZONA"",$ 10 000 USD,$ 25 450 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,
2014 Chevrolet Traverse Ltz,$ 1 650 USD,1,1GNKRJKD9EJ166773,97 113 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEWTON, FLORIDA"",$ 8 873 USD,$ 9 875 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Материальный ущерб,Повреждение передней части,
2010 Nissan Altima Base,$ 350 USD,1,1N4AL2AP5AN467136,226 911 mi,16.05.2024 17:00 UTC,2.5l 4,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 4 022 USD,$ 6 025 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны
2014 Lexus Rx 350 Base,$ 5 700 USD,1,2T2BK1BA5EC245691,122 108 mi,16.05.2024 17:00 UTC,3.5l 6,,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 13 332 USD,$ 15 800 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2024 Hyundai Elantra Sel,$ 10 600 USD,1,KMHLM4DG9RU672883,7 682 mi(подтвержден),16.05.2024 19:00 UTC,2.0l 4,,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""RENO, NEVADA"",$ 22 847 USD,$ 0 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,
2000 Ford Explorer Sport,$ 150 USD,1,1FMCU60E4YUA24401,321 907 mi,16.05.2024 19:00 UTC,4.0l 6,2 двери спорт,Синий,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""LAS VEGAS, NEVADA"",$ 8 557 USD,$ 0 USD,NV - SALVAGE TITLE,Материальный ущерб,Повреждение передней части,Повреждение задней части
2014 Nissan Sentra S,$ 925 USD,1,3N1AB7AP6EY289243,203 081 mi(подтвержден),16.05.2024 19:00 UTC,1.8l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""LAS VEGAS, NEVADA"",$ 0 USD,$ 4 850 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,
2021 Nissan Altima Sv,$ 4 700 USD,1,1N4BL4DVXMN308613,93 246 mi(подтвержден),16.05.2024 19:00 UTC,2.5l 4,,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""FRESNO, CALIFORNIA"",$ 0 USD,$ 18 175 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны
2018 Toyota Yaris Ia,$ 2 650 USD,1,3MYDLBYV7JY311650,34 743 mi(подтвержден),16.05.2024 19:00 UTC,1.5l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""RANCHO CUCAMONGA, CALIFORNIA"",$ 0 USD,$ 13 050 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,Повреждение стороны
2005 Toyota Camry Solara Se,$ 50 USD,2,4T1CA38P55U049381,178 172 mi(подтвержден),16.05.2024 19:00 UTC,3.3l 6,купе,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""RENO, CALIFORNIA"",$ 0 USD,$ 6 000 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2010 Hyundai Elantra Blue,$ 125 USD,1,KMHDU4AD2AU085377,,16.05.2024 19:00 UTC,2.0l 4,4-дверный седан,Белый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""RANCHO CUCAMONGA, CALIFORNIA"",$ 1 211 USD,$ 4 850 USD,CA - NON-REPAIRABLE VEHICLE CERT,Пожар,Пожар двигателя,
2021 Toyota Rav4 Le,$ 8 300 USD,1,4T3MWRFV1MU015874,42 791 mi(подтвержден),16.05.2024 19:00 UTC,2.5l 4,,Белый,Автоматическая,Гибрид,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""COLTON, CALIFORNIA"",$ 27 157 USD,$ 29 275 USD,CA - SALVAGE CERTIFICATE,Столкновение,Опрокидывание/Перевертышь,
2017 Mitsubishi Outlander Es,$ 725 USD,1,JA4AD2A30HZ035166,127 641 mi(подтвержден),16.05.2024 19:00 UTC,2.4l 4,4-дверный спорт,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""FRESNO, CALIFORNIA"",$ 0 USD,$ 9 925 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повсюду,
2004 Toyota Tacoma Xtracab Prerunner,$ 3 500 USD,2,5TESN92N34Z401216,167 481 mi(подтвержден),16.05.2024 17:00 UTC,3.4l 6,,Золотой,Автоматическая,Бензин,задний привод,Ключи присутствуют,двигатель запускается,""GRAND PRAIRIE, TEXAS"",$ 7 748 USD,$ 0 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,
2004 Hyundai Sonata Gls,$ 300 USD,1,KMHWF35H24A985132,169 974 mi,16.05.2024 19:00 UTC,2.7l 6,4-дверный седан,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LAS VEGAS, NEVADA"",$ 4 122 USD,$ 0 USD,NV - SALVAGE TITLE,Столкновение,Повреждение задней части,
1997 Buick Lesabre Custom,$ 90 USD,1,1G4HP52K4VH489758,92 948 mi,16.05.2024 18:00 UTC,3.8l 6,4-дверный седан,Желто-коричневый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NAMPA, IDAHO"",$ 5 815 USD,$ 3 750 USD,ID - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,
2022 Honda Pilot Touring,$ 8 700 USD,1,5FNYF5H63NB020257,10 168 mi(подтвержден),16.05.2024 17:00 UTC,3.5l 6,,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 45 479 USD,$ 39 700 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны
2013 Hyundai Elantra Gt,$ 800 USD,2,KMHD35LE4DU154685,115 481 mi(подтвержден),16.05.2024 17:00 UTC,1.8l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""GRAND PRAIRIE, TEXAS"",$ 0 USD,$ 7 550 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,
2004 Toyota Sequoia Limited,$ 1 600 USD,1,5TDBT48A54S224811,181 843 mi(подтвержден),16.05.2024 19:00 UTC,4.7l 8,,Зеленый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""ANTELOPE, CALIFORNIA"",$ 7 806 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,
2023 Porsche Macan Base,$ 35 500 USD,1,WP1AA2A56PLB09285,9 825 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 54 000 USD,$ 60 025 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2017 Maserati Ghibli,$ 3 050 USD,2,ZAM57XSA3H1242394,48 457 mi(подтвержден),16.05.2024 19:00 UTC,3.0l 6,,Угольный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""RANCHO CUCAMONGA, CALIFORNIA"",$ 0 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,
2017 Chevrolet Equinox Lt,$ 3 750 USD,1,2GNALCEK1H1507942,68 666 mi(подтвержден),16.05.2024 17:00 UTC,2.4l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 7 892 USD,$ 13 675 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение передней части
2011 Mercedes-benz R 350 4matic,$ 725 USD,1,4JGCB6FEXBA113136,191 385 mi(подтвержден),16.05.2024 17:00 UTC,3.5l 6,,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 8 583 USD,$ 8 475 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2011 Toyota Camry Base,$ 925 USD,1,4T4BF3EK9BR095139,146 164 mi(подтвержден),16.05.2024 19:00 UTC,2.5l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""COLTON, CALIFORNIA"",$ 8 310 USD,$ 8 350 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2015 Gmc Sierra K3500 Sle,$ 2 550 CAD,1,1GD322C89FF655778,363 954 mi(подтвержден),16.05.2024 18:00 UTC,6.6l 8,,Белый,Автоматическая,Дизель,4х4 с задним приводом,,улучшенные транспортные средства,""NISKU, ALBERTA"",$ 30 191 CAD,$ 0 CAD,AB - BOS - SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны
2008 Ford F150,$ 650 USD,1,1FTRX12W48FA54582,238 665 mi,16.05.2024 19:00 UTC,4.6l 8,4-дверный удлиненный,Черный,Автоматическая,Бензин,задний привод,,улучшенные транспортные средства,""LAS VEGAS, NEVADA"",$ 0 USD,$ 4 925 USD,NV - NON-REPAIRABLE VEHICLE CERT,Столкновение,Повреждение стороны,
2017 Ford Fusion Se Hybrid,$ 3 250 USD,1,3FA6P0LU7HR165226,145 791 mi(подтвержден),16.05.2024 19:00 UTC,2.0l 4,,Бордовый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,заводится и едет,""RANCHO CUCAMONGA, CALIFORNIA"",$ 8 037 USD,$ 9 375 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2006 Lexus Es 330,$ 50 USD,1,JTHBA30GX65162815,84 213 mi,16.05.2024 19:00 UTC,3.3l 6,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""RENO, NEVADA"",$ 7 405 USD,$ 6 550 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,
2017 Toyota Corolla L,$ 3 050 USD,1,2T1BURHE9HC757515,27 567 mi(подтвержден),16.05.2024 19:00 UTC,1.8l 4,,Коричневый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""FRESNO, CALIFORNIA"",$ 15 304 USD,$ 14 075 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение стороны,Повреждение передней части
2011 Chevrolet Traverse Lt,$ 125 USD,1,1GNKVGED7BJ364855,199 117 mi,16.05.2024 18:00 UTC,3.6l 6,4-дверный спорт,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""NAMPA, IDAHO"",$ 6 449 USD,$ 4 825 USD,ID - SALVAGE CERTIFICATE OF TITLE,Столкновение,Верх/крыша,Повреждение стороны
2002 Ford Windstar Lx,$ 150 USD,1,2FMZA50492BA39848,215 016 mi,16.05.2024 19:00 UTC,3.8l 6,расширенный,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LAS VEGAS, NEVADA"",$ 4 474 USD,$ 0 USD,NV - SALVAGE TITLE,Материальный ущерб,Повреждение передней части,
2006 Toyota Scion Tc,$ 400 USD,1,JTKDE177X60110289,,16.05.2024 18:00 UTC,2.4l 4,,Синий,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""NAMPA, IDAHO"",$ 12 103 USD,$ 4 338 USD,ID - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повсюду,Повреждение ходовой части
