Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Коробка передач
2021 Toyota Camry Trd,$ 13 500 USD,1,4T1KZ1AK3MU047490,42 829 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 23 219 USD,$ 31 525 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2017 Hyundai Tucson Limited,$ 4 950 USD,1,KM8J3CA20HU311845,97 968 mi(подтвержден),13.05.2024 14:00 UTC,1.6l 4,,Синий,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"LEROY, NEW YORK",$ 12 732 USD,$ 15 400 USD,NY - MV-907A SALVAGE CERTIFICATE,Неизвестно,Повреждение задней части,Повреждение стороны,Автоматическая
2018 Chevrolet Camaro Lt,$ 125 USD,1,1G1FB1RX9J0178946,,13.05.2024 19:00 UTC,2.0l 4,,Белый,Бензин,задний привод,,улучшенные транспортные средства,"MARTINEZ, CALIFORNIA",$ 21 866 USD,$ 20 925 USD,CA - SALVAGE CERTIFICATE,Кража,Вандализм,,Автоматическая
2013 Mercedes-benz Ml 350 Bluetec,$ 3 100 USD,1,4JGDA2EB4DA177683,112 619 mi(подтвержден),13.05.2024 17:00 UTC,3.0l 6,,Черный,Дизель,Полный привод,Ключи присутствуют,заводится и едет,"WILMER, TEXAS",$ 9 004 USD,$ 11 200 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины,Автоматическая
2006 Toyota Tacoma X-runner Access Cab,$ 375 USD,1,5TETU22N76Z236448,128 498 mi(подтвержден),13.05.2024 22:00 UTC,4.0l 6,,Синий,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,"KAPOLEI, HAWAII",$ 0 USD,$ 10 300 USD,HI - BILL OF SALE - PARTS ONLY,Столкновение,Повсюду,,Автоматическая
2014 Chevrolet Volt,$ 3 700 USD,1,1G1RA6E46EU111406,86 124 mi(подтвержден),13.05.2024 14:00 UTC,1.4l 4,хэтчбек,Красный,Гибрид,передний привод,Ключи присутствуют,заводится и едет,"CENTER RUTLAND, VERMONT",$ 6 204 USD,$ 8 050 USD,VT - CERT OF TITLE-SALVAGE VEHICLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая
2005 Ford Explorer Sport Trac,$ 600 USD,1,1FMZU67KX5UB93968,164 192 mi,13.05.2024 14:00 UTC,4.0l 6,,Черный,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,"SPARTANBURG, SOUTH CAROLINA",$ 11 579 USD,$ 5 900 USD,SC - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,Повреждение передней части,Автоматическая
2002 Chevrolet Blazer,$ 150 USD,1,1GNDT13W92K221755,,13.05.2024 14:00 UTC,4.3l 6,,Желто-коричневый,Бензин,4х4 с задним приводом,,улучшенные транспортные средства,"FORT WAYNE, INDIANA",$ 0 USD,$ 2 900 USD,IN - BILL OF SALE - PARTS ONLY,Пожертвование,Повреждение передней части,,
2011 Volkswagen Jetta Tdi,$ 2 300 USD,1,3VWPL7AJ9BM663523,121 491 mi(подтвержден),13.05.2024 17:00 UTC,2.0l 4,стационарный (неподвижный),Синий,Дизель,передний привод,Ключи присутствуют,заводится и едет,"AVON, MINNESOTA",$ 7 277 USD,$ 7 325 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2018 Mitsubishi Outlander Sport Es,$ 5 800 USD,1,JA4AR3AU6JZ012979,36 895 mi(подтвержден),13.05.2024 14:00 UTC,2.0l 4,,Черный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"YORK HAVEN, PENNSYLVANIA",$ 13 734 USD,$ 15 725 USD,PA - CERTIFICATE OF SALVAGE,Материальный ущерб,Повреждение задней части,Незначительная вмятина/царапины,Автоматическая
2017 Chevrolet Silverado K1500 Lt,$ 7 000 USD,1,1GCVKREC8HZ279292,85 232 mi(подтвержден),13.05.2024 17:00 UTC,5.3l 8,,Черный,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,"LEBANON, TENNESSEE",$ 24 205 USD,$ 25 375 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение стороны,Автоматическая
2003 Ford Explorer Xlt,$ 175 USD,2,1FMZU63K63UB76717,232 154 mi,13.05.2024 17:00 UTC,4.0l 6,,Синий,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,"PEKIN, ILLINOIS",$ 3 265 USD,$ 0 USD,IL - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая
2012 Toyota Camry Se,$ 2 600 USD,1,4T1BK1FK9CU514648,141 699 mi(подтвержден),13.05.2024 14:00 UTC,3.5l 6,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LUMBERTON, NORTH CAROLINA",$ 7 847 USD,$ 10 875 USD,NC - SALVAGE CERTIFICATE OF TITLE,Кража,Повреждение передней части,Повреждение задней части,Автоматическая
2010 Honda Civic Vp,$ 1 200 USD,1,19XFA1E35AE011097,104 278 mi(подтвержден),13.05.2024 14:00 UTC,1.8l 4,4-дверный седан,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"CENTER RUTLAND, VERMONT",$ 8 021 USD,$ 6 725 USD,VT - CERT OF TITLE-SALVAGE VEHICLE,Столкновение,Повреждение задней части,,Механическая
2004 Gmc Sierra K2500 Heavy Duty,$ 2 500 USD,1,1GTHK23184F171305,,13.05.2024 18:00 UTC,6.6l 8,,Серебряный,Дизель,4х4 с задним приводом,Ключи присутствуют,заводится и едет,"FARR WEST, UTAH",$ 15 705 USD,$ 0 USD,UT - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2018 Chevrolet Equinox Premier,$ 4 600 USD,1,2GNAXVEV9J6164980,57 488 mi(подтвержден),13.05.2024 17:00 UTC,1.5l 4,,Красный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"APPLETON, WISCONSIN",$ 10 973 USD,$ 19 175 USD,WI - CERT OF TITLE-CLAIM PAID,Неизвестно,Повреждение передней части,,Автоматическая
2015 Hyundai Sonata Se,$ 1 450 USD,1,5NPE24AF9FH231050,199 267 mi(подтвержден),13.05.2024 14:00 UTC,2.4l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LUMBERTON, NORTH CAROLINA",$ 4 884 USD,$ 8 000 USD,NC - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая
2017 Kia Forte Lx,$ 1 900 CAD,1,3KPFL4A75HE026133,246 745 mi(подтвержден),13.05.2024 17:00 UTC,2.0l 4,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"BOWMANVILLE, ONTARIO",$ 14 536 CAD,$ 0 CAD,ON - PERMIT SALVAGE,Столкновение,Повреждение задней части,,Автоматическая
2015 Chevrolet Trax Ltz,$ 2 700 USD,2,KL7CJTSB4FB140539,71 431 mi(подтвержден),13.05.2024 17:00 UTC,1.4l 4,,Красный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"DYER, INDIANA",$ 10 356 USD,$ 10 950 USD,IN - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение стороны,,Автоматическая
2015 Dodge Charger Se,$ 3 000 USD,1,2C3CDXFG1FH841509,168 870 mi(подтвержден),13.05.2024 18:00 UTC,3.6l 6,,Белый,Этанолосодержащий бензин,Полный привод,Ключи присутствуют,заводится и едет,"LITTLETON, COLORADO",$ 12 222 USD,$ 12 400 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение задней части,,Автоматическая
2013 Lexus Rx 350 Base,$ 5 000 USD,1,2T2BK1BA7DC215980,94 359 mi(подтвержден),13.05.2024 14:00 UTC,3.5l 6,4-дверный спорт,Серебряный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"CENTER RUTLAND, VERMONT",$ 9 987 USD,$ 16 750 USD,VT - CERT OF TITLE-SALVAGE VEHICLE,Столкновение,Повреждение стороны,,Автоматическая
2011 Toyota Camry Base,$ 1 450 USD,1,4T1BF3EK3BU172890,120 331 mi(подтвержден),13.05.2024 17:00 UTC,2.5l 4,4-дверный седан,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LEBANON, TENNESSEE",$ 9 338 USD,$ 9 750 USD,TN - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая
2016 Acura Mdx Technology,$ 2 750 USD,1,5FRYD4H40GB048534,168 954 mi(подтвержден),13.05.2024 18:00 UTC,3.5l 6,,Угольный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"COLORADO SPRINGS, COLORADO",$ 9 885 USD,$ 18 150 USD,CO - SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая
2016 Chrysler 200 Limited,$ 175 USD,1,1C3CCCABXGN179932,,13.05.2024 14:00 UTC,2.4l 4,,Черный,Бензин,передний привод,,улучшенные транспортные средства,"FORT WAYNE, INDIANA",$ 17 366 USD,$ 12 075 USD,IN - CERT OF TITLE-SALVAGE TITLE,Неизвестно,Повреждение передней части,Повреждение стороны,Автоматическая
2007 Toyota Rav4,$ 1 850 USD,1,JTMBD35V375093435,106 149 mi,13.05.2024 17:00 UTC,2.4l 4,,Серый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"PEKIN, ILLINOIS",$ 6 808 USD,$ 10 150 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение ходовой части,Автоматическая
2007 Toyota Rav4,$ 1 850 USD,1,JTMBD35V375093435,106 149 mi,13.05.2024 17:00 UTC,2.4l 4,,Серый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"PEKIN, ILLINOIS",$ 6 808 USD,$ 10 150 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение ходовой части,Автоматическая
2010 Acura Tsx,$ 275 USD,2,JH4CU2F64AC027709,,13.05.2024 17:00 UTC,2.4l 4,,Черный,Бензин,передний привод,,улучшенные транспортные средства,"CONWAY, ARKANSAS",$ 23 325 USD,$ 6 725 USD,AR - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая
2018 Mazda 6 Touring,$ 7 300 USD,1,JM1GL1VM3J1332291,26 600 mi(подтвержден),13.05.2024 14:00 UTC,2.5l 4,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"APOPKA, FLORIDA",$ 14 677 USD,$ 21 425 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Неизвестно,Повреждение передней части,,Автоматическая
2017 Honda Accord Touring,$ 3 900 USD,1,1HGCR3F97HA043168,39 672 mi(подтвержден),13.05.2024 14:00 UTC,3.5l 6,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"BROOKHAVEN, NEW YORK",$ 21 385 USD,$ 23 125 USD,NY - MV907A-PARTS ONLY,Неизвестно,Повреждение передней части,Повреждение стороны,Автоматическая
2016 Mazda Cx-5 Gt,$ 3 200 USD,1,JM3KE4DY5G0774926,132 179 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,,Черный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"WOODBURN, OREGON",$ 13 873 USD,$ 13 575 USD,OR - LIEN PAPERS SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая
2008 Lexus Gx 470,$ 5 300 USD,1,JTJBT20X480162604,189 761 mi(подтвержден),13.05.2024 17:00 UTC,4.7l 8,,Серебряный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"WHEELING, ILLINOIS",$ 7 038 USD,$ 11 675 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2023 Chevrolet Traverse Lt,$ 13 200 USD,3,1GNEVGKW5PJ189824,17 573 mi(подтвержден),13.05.2024 09:16 UTC,3.6l 6,,Серебряный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"CAHOKIA HEIGHTS, INDIANA",$ 0 USD,$ 0 USD,IN - CERT OF TITLE-SALVAGE TITLE (P),Дилерские услуги Copart,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая
2014 Jeep Compass Latitude,$ 2 200 USD,2,1C4NJDEB9ED529130,35 804 mi(подтвержден),13.05.2024 14:00 UTC,2.4l 4,,Красный,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,"SPARTANBURG, NORTH CAROLINA",$ 9 663 USD,$ 8 175 USD,NC - SALVAGE CERTIFICATE OF TITLE,Неизвестно,Повреждение передней части,,Автоматическая
2021 Hyundai Tucson Limited,$ 9 800 USD,1,KM8J3CAL4MU296544,24 121 mi,13.05.2024 14:00 UTC,2.4l 4,,Серый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"BROOKHAVEN, NEW YORK",$ 0 USD,$ 23 600 USD,NY - MV-907A SALVAGE CERTIFICATE,Кража,Незначительная вмятина/царапины,,Автоматическая
2018 Hyundai Santa Fe Sport,$ 1 550 USD,1,5XYZU4LA3JG563630,91 756 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 20 133 USD,$ 16 500 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2016 Ford Focus Bev,$ 500 USD,1,1FADP3R43GL258628,81 078 mi(подтвержден),13.05.2024 22:00 UTC,,,Белый,Электричество,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 9 403 USD,$ 9 175 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2016 Bmw 328 I Sulev,$ 4 450 USD,2,WBA8E9G55GNT43486,46 568 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Желто-коричневый,Бензин,задний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 13 812 USD,$ 11 625 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2020 Toyota Rav4 Le,$ 7 000 USD,1,JTMMWRFV2LD525226,19 204 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,,Белый,Гибрид,Полный привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 28 602 USD,$ 26 075 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2008 Nissan Xterra Off Road,$ 675 USD,4,5N1AN08W88C531631,220 863 mi,13.05.2024 14:00 UTC,4.0l 6,,Синий,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,"WINDSOR, PENNSYLVANIA",$ 0 USD,$ 6 275 USD,PA - CERT OF TITLE,Дилерские услуги Copart,Механическое повреждение,,Автоматическая
2021 Kia Seltos S,$ 3 700 USD,1,KNDEU2AA5M7118913,20 121 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 15 864 USD,$ 19 775 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2015 Toyota Tacoma Access Cab,$ 4 200 USD,1,5TFTX4CN0FX056494,104 799 mi(подтвержден),13.05.2024 19:00 UTC,2.7l 4,,Серебряный,Бензин,задний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 16 275 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Механическая
2020 Honda Passport Exl,$ 7 500 USD,60,5FNYF8H5XLB015465,32 330 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Синий,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"LOS ANGELES, WASHINGTON",$ 5 412 USD,$ 25 525 USD,WA - BILL OF SALE,Дилерские услуги Copart,Повреждение передней части,,Автоматическая
2008 Ford Escape Hev,$ 325 USD,1,1FMCU49HX8KB33197,243 309 mi(подтвержден),13.05.2024 14:00 UTC,4,,Черный,Гибрид,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LOUISVILLE, KENTUCKY",$ 3 743 USD,$ 4 600 USD,KY - CERT OF TITLE-SALVAGE,Материальный ущерб,Повреждение ходовой части,Незначительная вмятина/царапины,Автоматическая
2019 Bmw 330i,$ 7 700 USD,1,WBA5R1C53KFH15301,104 977 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 17 595 USD,$ 23 450 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение стороны,Повреждение передней части,Автоматическая
2017 Honda Civic Ex,$ 2 050 USD,1,2HGFC1F37HH639493,139 489 mi(подтвержден),13.05.2024 19:00 UTC,1.5l 4,,Черный,Бензин,передний привод,Ключи присутствуют,двигатель запускается,"SACRAMENTO, CALIFORNIA",$ 10 627 USD,$ 16 725 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение ходовой части,Автоматическая
2006 Toyota Corolla Ce,$ 900 USD,1,JTDBR32E160081866,,13.05.2024 19:00 UTC,1.8l 4,,Белый,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"SACRAMENTO, CALIFORNIA",$ 9 896 USD,$ 6 100 USD,CA - SALVAGE CERTIFICATE,Материальный ущерб,Повреждение передней части,,Автоматическая
2013 Toyota Scion Fr-s,$ 1 200 USD,1,JF1ZNAA12D1734487,92 367 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Угольный,Бензин,задний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 9 296 USD,$ 9 625 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,Повреждение задней части,Механическая
2021 Kia Soul Lx,$ 6 900 USD,1,KNDJ23AU3M7784186,17 406 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Серый,Бензин,передний привод,Ключи присутствуют,двигатель запускается,"PHOENIX, ARIZONA",$ 17 129 USD,$ 21 525 USD,AZ - CERT OF TITLE - SALVAGE,Кража,Вандализм,Повреждение задней части,Автоматическая
2017 Chevrolet Impala Lt,$ 1 450 USD,1,2G1105S36H9190468,80 979 mi,13.05.2024 19:00 UTC,3.6l 6,,Синий,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 13 385 USD,$ 13 525 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая
2016 Porsche Cayenne,$ 8 700 USD,1,WP1AA2A2XGKA37941,100 657 mi(подтвержден),13.05.2024 19:00 UTC,3.6l 6,,Черный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"NORTH LAS VEGAS, NEVADA",$ 0 USD,$ 19 950 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая
2017 Nissan Rogue Sport S,$ 3 000 USD,2,JN1BJ1CP5HW033835,117 059 mi(подтвержден),13.05.2024 17:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LEBANON, TENNESSEE",$ 11 658 USD,$ 12 800 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины,Автоматическая
2004 Ford F250 Super Duty,$ 225 USD,6,1FTNX21L74EE01415,,13.05.2024 14:00 UTC,5.4l 8,,Белый,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,"ALBANY, NEW YORK",$ 0 USD,$ 0 USD,NY - CERTIFICATE OF TITLE,Публичный коносамент,Механическое повреждение,Нормальный износ,Автоматическая
2021 Chevrolet Trailblazer Rs,$ 3 400 USD,1,KL79MTSL0MB064406,41 466 mi(подтвержден),13.05.2024 19:00 UTC,1.3l 3,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"MARTINEZ, CALIFORNIA",$ 23 616 USD,$ 24 400 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2015 Honda Pilot Exl,$ 800 USD,1,5FNYF4H55FB060164,167 192 mi(подтвержден),13.05.2024 17:00 UTC,3.5l 6,,Бордовый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"FRANKLIN, WISCONSIN",$ 12 941 USD,$ 15 175 USD,WI - JUNKED VEHICLE BILL OF SALE,Столкновение,Повреждение задней части,,Автоматическая
2024 Toyota Sienna Xle,$ 31 000 USD,1,5TDYRKEC8RS184590,3 444 mi(подтвержден),13.05.2024 16:00 UTC,2.5l 4,,Серебряный,Гибрид,передний привод,Ключи присутствуют,заводится и едет,"TUCSON, ARIZONA",$ 21 013 USD,$ 0 USD,AZ - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Повреждение ходовой части,Автоматическая
2017 Dodge Journey Se,$ 225 USD,2,3C4PDCAB8HT602079,109 240 mi,13.05.2024 17:00 UTC,2.4l 4,,Черный,Бензин,передний привод,Ключи присутствуют,,"CONWAY, ARKANSAS",$ 8 547 USD,$ 9 375 USD,AR - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая
