Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Кузов,Второстепенное повреждение
2009 Hyundai Sonata Gls,$ 300 USD,1,5NPET46C29H542027,179 530 mi,15.05.2024 19:00 UTC,2.4l 4,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 7 636 USD,$ 5 650 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение стороны
2013 Toyota Prius,$ 2 200 USD,1,JTDKN3DU6D1629836,202 082 mi(подтвержден),15.05.2024 19:00 UTC,1.8l 4,Угольный,Автоматическая,Гибрид,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 7 115 USD,$ 9 450 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение задней части,,
2008 Honda Accord Exl,$ 300 USD,1,1HGCP36878A062820,186 584 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 7 463 USD,$ 8 875 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение ходовой части
2016 Ford Focus Se,$ 400 USD,1,1FADP3F29GL338597,71 919 mi,15.05.2024 19:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""PORTLAND, OREGON"",$ 8 074 USD,$ 8 925 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение передней части,,
2022 Mazda Cx-9 Touring,$ 16 500 USD,2,JM3TCBCY3N0607090,34 338 mi(подтвержден),15.05.2024 16:00 UTC,2.5l 4,Синий,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""BYRON, FLORIDA"",$ 0 USD,$ 30 350 USD,FL - CERTIFICATE OF TITLE,Столкновение,Повреждение задней части,,
2015 Honda Accord Hybrid Exl,$ 2 400 USD,1,1HGCR6F51FA014017,98 805 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Бордовый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 14 982 USD,$ 14 100 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение стороны,,Повреждение задней части
2020 Acura Mdx Advance,$ 9 200 USD,1,5J8YD4H85LL800967,84 771 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""PORTLAND, ONTARIO"",$ 0 USD,$ 35 225 USD,ON - PERMIT NO BRAND - UNFIT,Столкновение,Повреждение задней части,,
2006 Chevrolet Suburban K1500,$ 750 USD,1,1GNFK16Z96J177141,178 218 mi(подтвержден),15.05.2024 19:00 UTC,5.3l 8,Белый,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,""MARTINEZ, CALIFORNIA"",$ 6 113 USD,$ 6 700 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение ходовой части
2014 Lexus Es 300h,$ 5 200 USD,1,JTHBW1GG9E2070638,,15.05.2024 19:00 UTC,2.5l 4,Серый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,улучшенные транспортные средства,""MARTINEZ, CALIFORNIA"",$ 12 570 USD,$ 15 850 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение ходовой части,,
2019 Toyota C-hr Xle,$ 4 550 USD,1,JTNKHMBX5K1049786,71 300 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 21 647 USD,$ 20 225 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,Повсюду
2016 Ford F53,$ 23 200 USD,2,1F66F5DY3G0A15420,14 305 mi,15.05.2024 19:00 UTC,6.8l 10,Двухцветный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 54 846 USD,$ 0 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,моторизованный,
2014 Ford Focus Se,$ 1 650 USD,1,1FADP3F22EL300318,124 120 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Красный,Механическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 7 248 USD,$ 6 200 USD,AZ - CERT OF TITLE - SALVAGE,Неизвестно,Повреждение стороны,,
2023 Audi A3 Premium,$ 15 700 USD,1,WAUAUDGY9PA034516,3 950 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 19 755 USD,$ 32 675 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение ходовой части
2016 Honda Accord Ex,$ 7 100 USD,1,1HGCR2F01GA003307,94 954 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Серый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""MARTINEZ, CALIFORNIA"",$ 0 USD,$ 15 475 USD,CA - CERTIFICATE OF TITLE,Кража,Вандализм,,
2012 Mazda 5,$ 1 200 USD,2,JM1CW2BL2C0115895,118 388 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 4 853 USD,$ 4 825 USD,OR - SALVAGE TITLE CERTIFICATE,Неизвестно,Повреждение передней части,,
2021 Kia Forte Fe,$ 4 800 USD,1,3KPF24AD5ME354543,23 894 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 17 103 USD,$ 19 100 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,
1995 Jeep Grand Cherokee Limited,$ 125 USD,1,1J4GZ78YXSC509211,289 499 mi(подтвержден),15.05.2024 19:00 UTC,5.2l 8,Зеленый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""PORTLAND, OREGON"",$ 1 410 USD,$ 0 USD,OR - SALVAGE TITLE CERTIFICATE,Кража,Повреждение передней части,,Механическое повреждение
2014 Nissan Versa S,$ 625 USD,2,3N1CN7APXEL809215,83 872 mi(подтвержден),15.05.2024 19:00 UTC,1.6l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 7 143 USD,$ 5 800 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повсюду,,
2017 Bmw X5 Sdrive35i,$ 6 700 USD,1,5UXKR2C39H0U22648,,15.05.2024 19:00 UTC,3.0l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,,""SUN VALLEY, CALIFORNIA"",$ 100 USD,$ 20 025 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,,Повреждение стороны
2010 Lexus Rx 450,$ 3 000 USD,1,JTJBC1BA2A2406084,159 783 mi,15.05.2024 19:00 UTC,3.5l 6,Черный,Автоматическая,Гибрид,Полный привод,,,""MARTINEZ, CALIFORNIA"",$ 15 127 USD,$ 11 925 USD,CA - SALVAGE CERTIFICATE,Кража,Вандализм,,Повреждение передней части
2004 Volkswagen Jetta Gls,$ 125 USD,1,3VWSK69M04M082873,137 581 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Серебряный,Механическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""PORTLAND, OREGON"",$ 2 892 USD,$ 0 USD,OR - SALVAGE TITLE CERTIFICATE,Материальный ущерб,Повреждение задней части,,Повреждение передней части
2018 Chevrolet Volt Lt,$ 4 300 USD,1,1G1RA6S57JU157821,,15.05.2024 19:00 UTC,1.5l 4,Черный,Автоматическая,Гибрид,передний привод,Ключи присутствуют,улучшенные транспортные средства,""MARTINEZ, CALIFORNIA"",$ 0 USD,$ 18 525 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,
2007 Mercedes-benz Cls 550,$ 1 050 USD,1,WDDDJ72XX7A103115,,15.05.2024 19:00 UTC,5.5l 8,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,,""PORTLAND, OREGON"",$ 7 929 USD,$ 5 375 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение передней части,,
2009 Dodge Journey Sxt,$ 725 USD,1,3D4GH57V79T195068,127 120 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,Золотой,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""PORTLAND, ARIZONA"",$ 0 USD,$ 4 488 USD,AZ - CERT OF TITLE - SALVAGE,Кража,Вандализм,4-дверный спорт,
2001 Toyota Camry Le,$ 200 USD,1,JT2BF28K110303176,151 963 mi,15.05.2024 19:00 UTC,3.0l 6,Золотой,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 3 848 USD,$ 0 USD,OR - SALVAGE TITLE CERTIFICATE,Неизвестно,Повреждение задней части,,Повреждение передней части
2015 Bmw X5 Xdrive35i,$ 6 500 USD,1,5UXKR0C57F0K64054,89 415 mi(подтвержден),15.05.2024 19:00 UTC,3.0l 6,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 0 USD,$ 15 050 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повсюду,,
2015 Hyundai Sonata Se,$ 2 300 USD,1,5NPE24AF1FH055840,60 725 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 3 333 USD,$ 11 975 USD,OR - SALVAGE TITLE CERTIFICATE,Неизвестно,Вандализм,,
2022 Subaru Forester Sport,$ 9 900 USD,1,JF2SKAJCXNH507810,12 801 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 0 USD,$ 32 025 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,,Незначительная вмятина/царапины
2003 Subaru Forester 2.5xs,$ 200 USD,1,JF1SG65603H759134,235 712 mi,15.05.2024 19:00 UTC,2.5l 4,Золотой,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 3 223 USD,$ 0 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение стороны
2011 Infiniti M37,$ 2 250 USD,1,JN1BY1AP9BM321732,,15.05.2024 19:00 UTC,3.7l 6,Белый,Автоматическая,Бензин,задний привод,,улучшенные транспортные средства,""MARTINEZ, CALIFORNIA"",$ 0 USD,$ 5 550 USD,CA - SALVAGE CERTIFICATE,Кража,Вандализм,,Повсюду
2020 Toyota Corolla Se,$ 7 100 USD,1,JTDS4RCEXLJ010042,49 580 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 15 942 USD,$ 20 675 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение задней части
2021 Toyota Corolla Se,$ 5 500 USD,1,5YFS4MCE1MP074566,32 697 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 0 USD,$ 24 075 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,,
2015 Toyota Camry Le,$ 2 850 USD,1,4T1BF1FK6FU056429,144 505 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 0 USD,$ 10 275 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повсюду,,
2014 Ram 1500 Slt,$ 5 000 USD,1,1C6RR7LG8ES111042,125 957 mi(подтвержден),15.05.2024 19:00 UTC,3.6l 6,Красный,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 16 264 USD,$ 17 350 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,
2006 Toyota Tundra Access Cab Sr5,$ 2 050 USD,1,5TBRU34126S456743,308 409 mi(подтвержден),15.05.2024 19:00 UTC,4.0l 6,Золотой,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 5 386 USD,$ 9 450 USD,AZ - CERT OF TITLE - SALVAGE,Материальный ущерб,Повреждение стороны,,
2011 Toyota Corolla Base,$ 950 USD,1,2T1BU4EE5BC629402,284 900 mi(подтвержден),15.05.2024 19:00 UTC,1.8l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 9 870 USD,$ 8 425 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение задней части,,
2022 Toyota Gr 86,$ 4 650 USD,1,JF1ZNBC19N8751556,21 096 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Синий,Автоматическая,Бензин,задний привод,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 19 459 USD,$ 29 150 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,
2004 Aljo 5th Wheel,$ 3 400 USD,2,1SY300R384A001306,,15.05.2024 19:00 UTC,,Белый,,,,,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 14 123 USD,$ 0 USD,NV - SALVAGE TITLE,Неизвестно,Незначительная вмятина/царапины,,
2019 Acura Rdx Technology,$ 14 300 USD,1,5J8TC2H55KL035376,58 359 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,Полный привод,,улучшенные транспортные средства,""MARTINEZ, CALIFORNIA"",$ 2 518 USD,$ 25 625 USD,CA - CERTIFICATE OF TITLE,Кража,Вандализм,,Повреждение передней части
2008 Mazda 3 I,$ 400 USD,1,JM1BK12F581865353,122 618 mi,15.05.2024 19:00 UTC,2.0l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 3 300 USD,$ 5 625 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение стороны,,
2011 Volvo Xc60 T6,$ 1 800 USD,1,YV4902DZ3B2197780,133 235 mi(подтвержден),15.05.2024 19:00 UTC,3.0l 6,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 16 830 USD,$ 6 925 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
